"Centre Code","Centre Name","Centre Type","All Student Count","Enrolment Effective","Actual Address Line 1","Actual Address Line 2","Actual Address Line 3","Actual Address Post Code","OIC Title","Postal Address 1","Postal Address 2","Postal Address 3","Postal Address Post Code","Band","Phone Number","Restrict Contact to Outside Teaching Hours","Fax Number","Internet Site","Official Low Year Level","Official High Year Level","Geographic Region","Federal Electorate","State Electorate","Local Government Area"
"1226","Dimbulah State School","State School","139","February 2012","48-50 Kennedy Street","Dimbulah","","4872","Principal","PO Box 44","Dimbulah","","4872","08","(07) 4094 5333","N","(07) 4093 5109","www.dimbulahss.eq.edu.au","PY","10","Far North Queensland","Kennedy","Dalrymple","Tablelands (R)"
"0266","Dingo State School","State School","43","February 2012","Cnr Kennedy & Normanby Streets","Dingo","","4702","Principal","Cnr Kennedy & Normanby Streets","Dingo","","4702","05","(07) 4935 9169","N","(07) 4935 9206","www.dingoss.eq.edu.au","PY","07","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"1001","Dirranbandi P-10 State School","State School","112","February 2012","Jane Street","Dirranbandi","","4486","Principal","Jane Street","Dirranbandi","","4486","07","(07) 4625 8555","N","(07) 4625 8643","www.dirranbass.eq.edu.au","PY","10","Darling Downs South West","Maranoa","Warrego","Balonne (S)"
"6182","Dirranbandi SS - Special Education Program","Special Education Program","0","February 2012","Jane Street","Dirranbandi","","4486","Teacher-in-Charge","Jane Street","Dirranbandi","","4486","","(07) 4625 8379","N","(07) 4625 8643","www.dirranbass.eq.edu.au","0P","10","Darling Downs South West","Maranoa","Warrego","Balonne (S)"
"6848","Disability Services Support Unit","Support Centre","0","","141 Merton Road","Woolloongabba","","4102","Coordinator","141 Merton Road","Woolloongabba","","4102","","(07) 3240 9333","N","(07) 3240 9393","","","","Central Office","Griffith","South Brisbane","Brisbane (C)"
"5892","Djarragun College","Non-State School","","","Maher Road","Gordonvale","","4865","Principal","PO Box 771","Gordonvale","","4865","","(07) 4043 3777","N","(07) 4056 6111","www.djarraguncollege.qld.edu.au","PY","12","Far North Queensland","Kennedy","Mulgrave","Cairns (R)"
"6601","Doomadgee SS - Special Education Program","Special Education Program","0","February 2012","Goodeedawa Road","Doomadgee","","4830","Teacher-in-Charge","c/-Post Office","Doomadgee","","4830","","(07) 4745 8274","N","(07) 4745 8135","","PY","10","North Queensland","Kennedy","Mount Isa","Doomadgee (S)"
"0330","Doomadgee State School","State School","350","February 2012","Goodeedawa Road","Doomadgee","","4830","Principal","c/- Post Office","Doomadgee","","4830","09","(07) 4745 8274","N","(07) 4745 8135","www.doomadgeess.eq.edu.au","0P","10","North Queensland","Kennedy","Mount Isa","Doomadgee (S)"
"5395","Downlands Sacred Heart College (Toowoomba)","Non-State School","","","72 Ruthven Street","Toowoomba","","4350","Principal","PO Box 250","Toowoomba","","4350","","(07) 4690 9500","N","(07) 4690 9610","www.downlands.qld.edu.au","08","12","Darling Downs South West","Groom","Toowoomba North","Toowoomba (R)"
"0031","Drayton State School","State School","291","February 2012","55 Brisbane Street","Drayton","","4350","Principal","55 Brisbane Street","Drayton","","4350","07","(07) 4637 7444","N","(07) 4637 7400","www.draytonss.eq.edu.au","PY","07","Darling Downs South West","Groom","Condamine","Toowoomba (R)"
"0889","Drillham State School","State School","23","February 2012","13 Jardine Street","Drillham","","4424","Principal","13 Jardine Street","Drillham","","4424","05","(07) 4627 6289","Y","(07) 4627 6996","www.drillhamss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Warrego","Western Downs (R)"
"0342","Duaringa State School","State School","36","February 2012","Charlotte Street","Duaringa","","4712","Principal","PO Box 6","Duaringa","","4712","05","(07) 4935 7125","N","(07) 4935 7026","www.duaringass.eq.edu.au","PY","07","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"1170","Dulacca State School","State School","34","February 2012","North Road","Dulacca","","4425","Principal","North Road","Dulacca","","4425","05","(07) 4627 6155","N","(07) 4627 6468","www.dulaccass.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Warrego","Western Downs (R)"
"1779","Dundula State School","State School","68","February 2012","1 Main Street","Bakers Creek via Mackay","","4740","Principal","MSI 1236","Mackay","","4740","06","(07) 4952 8333","N","(07) 4952 8300","www.dundulass.eq.edu.au","PY","07","Central Queensland","Dawson","Mirani","Mackay (R)"
"0934","Dunkeld State School","State School","14","February 2012","Mitchell-St George Road","Dunkeld via Mitchell","","4465","Principal","Mitchell-St George Road","Dunkeld via Mitchell","","4465","05","(07) 4623 2703","N","(07) 4623 2752","www.dunkeldss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Warrego","Maranoa (R)"
"0784","Dunwich State School","State School","168","February 2012","Bingle Road","Dunwich Stradbroke Island","","4183","Principal","PO Box 37","Dunwich","Stradbroke Island","4183","08","(07) 3409 6333","N","(07) 3409 6300","www.dunwichss.eq.edu.au","PY","10","South East","Bowman","Cleveland","Redland (C)"
"5978","Durack SS - Special Education Program","Special Education Program","0","February 2012","69 Inala Avenue","Durack","","4077","Teacher-in-Charge","69 Inala Avenue","Durack","","4077","","(07) 3714 2666","N","(07) 3714 2600","www.durackss.eq.edu.au","PY","07","Metropolitan","Oxley","Inala","Brisbane (C)"
"0959","Durack State School","State School","463","February 2012","69 Inala Avenue","Durack","","4077","Principal","69 Inala Avenue","Durack","","4077","08","(07) 3714 2666","N","(07) 3714 2600","www.durackss.eq.edu.au","PY","07","Metropolitan","Oxley","Inala","Brisbane (C)"
"1667","Durong South State School","State School","36","February 2012","10463 Mundubbera Durong Road","Durong","","4610","Principal","MS 612","Kingaroy","","4610","05","(07) 4168 0259","Y","(07) 4168 0204","www.durosoutss.eq.edu.au","PY","07","Darling Downs South West","Flynn","Callide","South Burnett (R)"
"0118","Dutton Park SS - Special Education Program","Special Education Program","0","February 2012","112 Annerley Road","Dutton Park","","4102","Head of Special Education Services","112 Annerley Road","Dutton Park","","4102","05","(07) 3010 8326","N","(07) 3010 8300","","PY","07","Metropolitan","Griffith","South Brisbane","Brisbane (C)"
"0506","Dutton Park State School","State School","283","February 2012","112 Annerley Road","Dutton Park","","4102","Principal","112 Annerley Road","Dutton Park","","4102","07","(07) 3010 8333","N","(07) 3010 8300","www.duttparkss.eq.edu.au","PY","07","Metropolitan","Griffith","South Brisbane","Brisbane (C)"
"3514","Dysart SS - Special Education Program","Special Education Program","0","February 2012","Garnham Drive","Dysart","","4745","Teacher-in-Charge","PO Box 187","Dysart","","4745","","(07) 4941 1507","N","(07) 4941 1500","www.dysartss.eq.edu.au","PY","12","Central Queensland","Capricornia","Mirani","Isaac (R)"
"2156","Dysart State High School","State High School","179","February 2012","Edgerley Street","Dysart","","4745","Principal","PO Box 186","Dysart","","4745","08","(07) 4941 1888","N","(07) 4941 1800","www.dysartshs.eq.edu.au","08","12","Central Queensland","Capricornia","Mirani","Isaac (R)"
"0097","Dysart State School","State School","376","February 2012","Garnham Drive","Dysart","","4745","Principal","PO Box 187","Dysart","","4745","08","(07) 4941 1555","N","(07) 4941 1500","www.dysartss.eq.edu.au","PY","07","Central Queensland","Capricornia","Mirani","Isaac (R)"
"6183","Eagle Junction SS - Special Education Program","Special Education Program","0","February 2012","49 Roseby Avenue","Clayfield","","4011","Teacher-in-Charge","49 Roseby Avenue","Clayfield","","4011","","(07) 3637 1111","N","(07) 3637 1100","","PY","07","Metropolitan","Brisbane","Clayfield","Brisbane (C)"
"0726","Eagle Junction State School","State School","753","February 2012","49 Roseby Avenue","Clayfield","","4011","Principal","49 Roseby Avenue","Clayfield","","4011","09","(07) 3637 1111","N","(07) 3637 1100","www.eagljuncss.eq.edu.au","PY","07","Metropolitan","Brisbane","Clayfield","Brisbane (C)"
"3711","Eagleby Learning Centre - Centre for Continuing Secondary Education","Centre for Continuing Secondary Education","0","February 2012","161 Herses Road","Eagleby","","4207","Director","161 Herses Road","Eagleby","","4207","07","(07) 3382 9222","N","(07) 3382 9200","www.eaglebylc.eq.edu.au","08","12","South East","Forde","Coomera","Logan (C)"
"3263","Eagleby South SS - Special Education Program","Special Education Program","0","February 2012","Cnr Fryar & River Hills Roads","Eagleby","","4207","Head of Special Education Services","Cnr Fryar & River Hills Roads","Eagleby","","4207","05","(07) 3287 2722","N","(07) 3807 0360","","PY","07","South East","Forde","Coomera","Logan (C)"
"1876","Eagleby South State School","State School","339","February 2012","Cnr Fryar & River Hills Roads","Eagleby","","4207","Principal","Cnr Fryar & River Hills Roads","Eagleby","","4207","07","(07) 3287 2722","N","(07) 3807 0360","www.eaglebysouthss.eq.edu.au","PY","07","South East","Forde","Coomera","Logan (C)"
"5870","Eagleby SS - Special Education Program","Special Education Program","0","February 2012","Cnr Herses and Fryar Roads","Eagleby","","4207","Head of Special Education Services","Cnr Herses and Fryar Roads","Eagleby","","4207","05","(07) 3442 5333","N","(07) 3442 5300","","PY","07","South East","Forde","Coomera","Logan (C)"
"1974","Eagleby State School","State School","393","February 2012","Cnr Herses and Fryar Roads","Eagleby","","4207","Principal","Cnr Herses and Fryar Roads","Eagleby","","4207","08","(07) 3442 5333","N","(07) 3442 5300","www.eaglebyss.eq.edu.au","PY","07","South East","Forde","Coomera","Logan (C)"
"5180","Earnshaw State College","State School","645","February 2012","Cnr Earnshaw and Tufnell Roads","Banyo","","4014","Principal","PO Box 242","Banyo","","4014","10","(07) 3621 7333","N","(07) 3621 7300","www.earnshawsc.eq.edu.au","PY","12","Metropolitan","Lilley","Nudgee","Brisbane (C)"
"5872","Earnshaw State College - Special Education Program","Special Education Program","0","February 2012","Cnr Earnshaw and Tufnell Roads","Banyo","","4014","Teacher-in-Charge","PO Box 242","Banyo","","4014","","(07) 3621 7333","N","(07) 3621 7300","","PY","12","Metropolitan","Lilley","Nudgee","Brisbane (C)"
"0877","East Brisbane State School","State School","213","February 2012","56 Wellington Road","East Brisbane","","4169","Principal","56 Wellington Road","East Brisbane","","4169","07","(07) 3823 0444","N","(07) 3823 0400","www.eastbrisss.eq.edu.au","PY","07","Metropolitan","Griffith","South Brisbane","Brisbane (C)"
"5873","Eatons Hill SS - Special Education Program","Special Education Program","0","February 2012","Marylin Terrace","Eatons Hill","","4037","Teacher-in-Charge","PO Box 324","Albany Creek","","4035","","(07) 3264 9222","N","(07) 3264 9200","www.eatohillss.eq.edu.au","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"0593","Eatons Hill State School","State School","1054","February 2012","Marylin Terrace","Eatons Hill","","4037","Principal","PO Box 324","Albany Creek","","4035","10","(07) 3264 9222","N","(07) 3264 9200","www.eatohillss.eq.edu.au","PY","07","Metropolitan","Dickson","Everton","Moreton Bay (R)"
"5874","Edens Landing SS - Special Education Program","Special Education Program","0","February 2012","Jamie Nicolson Avenue","Edens Landing","","4207","Teacher-in-Charge","PO Box 1454","Beenleigh","","4207","","(07) 3826 0333","N","(07) 3826 0300","","PY","07","South East","Forde","Waterford","Logan (C)"
"0301","Edens Landing State School","State School","754","February 2012","Jamie Nicolson Avenue","Edens Landing","","4207","Principal","PO Box 1454","Beenleigh","","4207","09","(07) 3826 0333","N","(07) 3826 0300","www.edenslandingss.eq.edu.au","PY","07","South East","Forde","Waterford","Logan (C)"
"5875","Edge Hill SS - Special Education Program","Special Education Program","0","February 2012","254 Pease Street","Edge Hill Cairns","","4870","Teacher-in-Charge","PO Box 493 H","Edge Hill","Cairns","4870","","(07) 4053 4511","N","(07) 4032 1164","","PY","07","Far North Queensland","Leichhardt","Cairns","Cairns (R)"
"0235","Edge Hill State School","State School","993","February 2012","254 Pease Street","Edge Hill","","4870","Principal","PO Box 493H","Edge Hill","","4870","10","(07) 4037 9555","N","(07) 4032 1164","www.edgehillss.eq.edu.au","PY","07","Far North Queensland","Leichhardt","Cairns","Cairns (R)"
"7594","Education Business Systems","Administrative Unit (Other)","0","","Floor 1 Technology Park","35 Miles Platting Road","Eight Mile Plains","4113","Manager","First Floor, 35 Miles Platting Road","Eight Mile Plains","","4113","","(07) 3235 9937","N","(07) 3229 8695","","","","Central Office","Bonner","Stretton","Brisbane (C)"
"8834","Education House Data Centre","Pseudo Centre","0","","Level 11 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 0136","N","(07) 3237 9695","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"5749","Education Queensland","Administrative Unit (Other)","0","","30 Mary Street","Brisbane","","4000","Deputy Director-General","PO Box 33","Brisbane City East","","4002","","(07) 3237 0618","N","(07) 3221 4953","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"2215","Education Queensland Division","Administrative Unit (Other)","0","","Floor 22 Education House","30 Mary Street","Brisbane","4000","Deputy Director-General","PO Box 15033","City East","","4002","","(07) 3237 0070","N","(07) 3235 4099","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"8032","Education Queensland International","Administrative Unit (Other)","0","","Floor 18 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15050","City East","","4002","","(07) 3224 6958","N","(07) 3224 6973","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"0581","Eidsvold State School","State School","82","February 2012","7 Hodgkinson Street","Eidsvold","","4627","Principal","PO Box 84","Eidsvold","","4627","07","(07) 4165 7333","N","(07) 4165 1107","www.eidsvoldss.eq.edu.au","PY","12","Central Queensland","Flynn","Callide","North Burnett (R)"
"0034","Eight Mile Plains State School","State School","193","February 2012","480 Underwood Road","Eight Mile Plains","","4113","Principal","480 Underwood Road","Eight Mile Plains","","4113","07","(07) 3340 6333","N","(07) 3340 6300","www.eighmiless.eq.edu.au","PY","07","Metropolitan","Moreton","Stretton","Brisbane (C)"
"6184","Eimeo Road SS - Special Education Program","Special Education Program","0","February 2012","15 Eimeo Road","Rural View","","4740","Teacher-in-Charge","15 Eimeo Road","Rural View","","4740","","(07) 4969 7111","N","(07) 4969 7100","","PY","07","Central Queensland","Dawson","Whitsunday","Mackay (R)"
"0545","Eimeo Road State School","State School","922","February 2012","21 Eimeo Road","Rural View","","4740","Principal","21 Eimeo Road","Rural View","","4740","09","(07) 4969 7111","N","(07) 4969 7100","www.eimeoroadss.eq.edu.au","PY","07","Central Queensland","Dawson","Whitsunday","Mackay (R)"
"1758","El Arish State School","State School","44","February 2012","28 Chauvel Street","El Arish","","4855","Principal","28 Chauvel Street","El Arish","","4855","05","(07) 4068 5176","N","(07) 4068 5319","www.elarishss.eq.edu.au","PY","07","Far North Queensland","Kennedy","Hinchinbrook","Cassowary Coast (R)"
"5543","Elanora SHS - Special Education Program","Special Education Program","0","February 2012","Cnr Nineteenth Avenue & Avocado Street","Elanora","","4221","Head of Special Education Services","Cnr Nineteenth Avenue & Avocado Street","Elanora","","4221","05","(07) 5533 9299","N","(07) 5534 8332","www.elanorashs.eq.edu.au","08","12","South East","Mcpherson","Currumbin","Gold Coast (C)"
"3443","Elanora SS - Special Education Program","Special Education Program","0","February 2012","K P McGrath Drive","Elanora","","4221","Head of Special Education Services","K P McGrath Drive","Elanora","","4221","06","(07) 5559 9222","N","(07) 5559 9200","www.elanorass.eq.edu.au","PY","07","South East","Mcpherson","Currumbin","Gold Coast (C)"
"2183","Elanora State High School","State High School","803","February 2012","Cnr Nineteenth Avenue & Avocado Street","Elanora","","4221","Principal","Cnr Nineteenth Avenue & Avocado Street","Elanora","","4221","10","(07) 5568 4333","N","(07) 5534 8332","www.elanorashs.eq.edu.au","08","12","South East","Mcpherson","Currumbin","Gold Coast (C)"
"1923","Elanora State School","State School","1159","February 2012","K P McGrath Drive","Elanora","","4221","Principal","K P McGrath Drive","Elanora","","4221","11","(07) 5559 9222","N","(07) 5559 9200","www.elanorass.eq.edu.au","PY","07","South East","Mcpherson","Currumbin","Gold Coast (C)"
"7916","eLearn FNQ","Pseudo Centre","0","","Cnr Rigg and Windarra Streets","Woree","","4868","Unknown","C/O Woree State School","Cnr Rigg and Windarra St","Woree","4868","","","N","","","","","Far North Queensland","Leichhardt","Cairns","Cairns (R)"
"5645","eLearning","Administrative Unit (Other)","0","","347 Old Cleveland Road","Coorparoo","","4151","Director","PO Box 1238","Coorparoo","","4151","","(07) 3421 6310","N","(07) 3421 6330","","","","Central Office","Griffith","Greenslopes","Brisbane (C)"
"0953","Elimbah State School","State School","516","February 2012","School Road","Elimbah","","4516","Principal","School Road","Elimbah","","4516","08","(07) 5432 1333","N","(07) 5432 1300","www.elimbahss.eq.edu.au","PY","07","North Coast","Longman","Glass House","Moreton Bay (R)"
"1347","Elliott Heads State School","State School","81","February 2012","143 Breusch Road","Elliott Heads Bundaberg","","4670","Principal","MS 1260","Bundaberg","","4670","06","(07) 4159 6242","N","(07) 4159 6416","www.elliheadss.eq.edu.au","PY","07","North Coast","Hinkler","Burnett","Bundaberg (R)"
"2288","Emerald Christian College","Non-State School","","","Lot 2 Gregory Highway","Emerald","","4720","Principal","PO Box 1993","Emerald","Queensland","4720","","(07) 4982 0977","N","(07) 4982 0244","www.ecc.qld.edu.au","PY","11","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"5632","Emerald Education Office","Education Office","0","","Level 2 TAFE Building","Capricorn Highway","Emerald","4720","Executive Director","PO Box 576","Emerald","","4720","","(07) 4983 7555","N","(07) 4983 7550","www.learningplace.com.au/en/emerald","","","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"5175","Emerald North SS - Early Childhood Development Program","Special Education Program","0","February 2012","Campbell Street","Emerald","","4720","Head of Special Education Services","PO Box 706","Emerald","","4720","05","(07) 4988 2332","N","(07) 4988 2300","","0P","PY","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"3465","Emerald North SS - Special Education Program","Special Education Program","0","February 2012","Campbell Street","Emerald","","4720","Head of Special Education Services","PO Box 706","Emerald","","4720","05","(07) 4988 2327","N","(07) 4988 2329","","PY","12","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"1904","Emerald North State School","State School","330","February 2012","Campbell Street","Emerald","","4720","Principal","PO Box 706","Emerald","","4720","08","(07) 4988 2333","N","(07) 4982 2999","www.emernortss.eq.edu.au","PY","07","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"1646","Emerald SHS - Special Education Program","Special Education Program","0","February 2012","Old Airport Drive","Emerald","","4720","Head of Special Education Services","PO Box 419","Emerald","","4720","05","(07) 4988 2222","N","(07) 4988 2200","www.emeraldshs.eq.edu.au","08","12","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"2122","Emerald State High School","State High School","618","February 2012","Old Airport Drive","Emerald","","4720","Principal","PO Box 419","Emerald","","4720","09","(07) 4988 2222","N","(07) 4988 2200","www.emeraldshs.eq.edu.au","08","12","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"0354","Emerald State School","State School","391","February 2012","Anakie Street","Emerald","","4720","Principal","PO Box 1783","Emerald","","4720","08","(07) 4983 9666","N","(07) 4983 9600","www.emeraldss.eq.edu.au","PY","07","Central Queensland","Flynn","Gregory","Central Highlands (R)"
"0367","Emmanuel Catholic Primary School","Non-State School","","","Baxter Drive","Mount Pleasant","","4740","Principal","PO Box 8064","Mount Pleasant","","4740","","(07) 4942 5999","N","(07) 4942 5225","www.ecps.qld.edu.au","PY","07","Central Queensland","Dawson","Whitsunday","Mackay (R)"
"5814","Emmanuel College (Carrara)","Non-State School","","","Birmingham Road","Carrara","","4211","Principal","Locked Bag No 5","Nerang","","4211","","(07) 5561 4000","N","(07) 5561 4011","www.emmanuel.qld.edu.au","PY","12","South East","Moncrieff","Mudgeeraba","Gold Coast (C)"
"2358","Emmaus College (Jimboomba)","Non-State School","","","48 East Street","Jimboomba","","4280","Principal","PO Box 539","Jimboomba","Queensland","4280","","(07) 5547 9990","N","(07) 5546 9903","www.emmausjimboomba.qld.edu.au","PY","12","South East","Wright","Beaudesert","Logan (C)"
"5408","Emmaus College (Main Street Campus)","Non-State School","","","185 Main Street","Park Avenue","","4701","Principal","PO Box 5799","Central Queensland MC","","4702","","(07) 4923 5700","N","(07) 4923 5716","www.emmaus.qld.edu.au","11","12","Central Queensland","Capricornia","Rockhampton","Rockhampton (R)"
"2469","Emmaus College (Yaamba Road Campus)","Associated Facility","","","362 Yaamba Road","North Rockhampton","","4701","Principal","PO Box 5799","Central Queensland MC","","4702","","(07) 4923 5700","N","(07) 4923 5716","www.emmaus.qld.edu.au","08","10","Central Queensland","Capricornia","Rockhampton","Rockhampton (R)"
"8167","Employment Initiatives","Administrative Unit (Other)","0","","111 George Street","Brisbane","","4000","Executive Director","PO Box 15168","City East","","4002","","(07) 3224 7867","","(07) 3210 2849","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"0154","Emu Creek State School","State School","23","February 2012","14534 New England Highway","Greenmount East","","4359","Principal","14534 New England Highway","Greenmount East","","4359","05","(07) 4697 1171","N","(07) 4697 1327","www.emucreekss.eq.edu.au","PY","07","Darling Downs South West","Groom","Condamine","Toowoomba (R)"
"7928","Emu Park SS - Special Education Program","Special Education Program","0","February 2012","26 Fountain Street","Emu Park","","4710","Teacher-in-Charge","PO Box 85","Emu Park","","4710","","(07) 4925 4333","N","(07) 4925 4300","","PY","07","Central Queensland","Capricornia","Keppel","Rockhampton (R)"
"0473","Emu Park State School","State School","299","February 2012","26 Fountain Street","Emu Park","","4710","Principal","PO Box 85","Emu Park","","4710","07","(07) 4925 4333","N","(07) 4925 4300","www.emuparkss.eq.edu.au","PY","07","Central Queensland","Capricornia","Keppel","Rockhampton (R)"
"7107","Endeavour Christian College","Non-State School","","","Charles Street","Cooktown","","4871","Principal","PO Box 110","Cooktown","","4895","","(07) 4069 5812","N","","","PY","07","Far North Queensland","Leichhardt","Cook","Cook (S)"
"0035","Enoggera State School","State School","208","February 2012","235 South Pine Road","Enoggera","","4051","Principal","PO Box 217","Alderley","","4051","07","(07) 3550 1333","N","(07) 3550 1300","www.enoggerass.eq.edu.au","PY","07","Metropolitan","Brisbane","Ashgrove","Brisbane (C)"
"8153","Environmental Sustainability","Administrative Unit (Other)","0","","Floor 2 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3404 3441","N","","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"6126","EQIP Technical College - Gladstone Region","Associated Unit (Other)","0","February 2012","30 Dawson Road, Entrance via Boles Street","Gladstone","","4680","Principal","PO Box 260","Gladstone","","4680","","(07) 4976 6101","N","(07) 4976 6191","www.gladstonshs.eq.edu.au","11","12","Central Queensland","Flynn","Gladstone","Gladstone (R)"
"1179","Eromanga State School","State School","5","February 2012","Donald Street","Eromanga","","4480","Principal","PO Box 26","Eromanga","","4480","05","(07) 4656 4892","N","(07) 4656 4685","www.eromangass.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Gregory","Quilpie (S)"
"7364","Esk SS - Special Education Program","Special Education Program","0","February 2012","49 East Street","Esk","","4312","Head of Special Education Services","49 East Street","Esk","","4312","","(07) 5424 4111","N","(07) 5424 4100","","PY","07","Darling Downs South West","Blair","Nanango","Somerset (R)"
"0199","Esk State School","State School","164","February 2012","49 East Street","Esk","","4312","Principal","49 East Street","Esk","","4312","07","(07) 5424 4111","N","(07) 5424 4100","www.eskss.eq.edu.au","PY","07","Darling Downs South West","Blair","Nanango","Somerset (R)"
"5336","Ethical Standards","Administrative Unit (Other)","0","","Floor 16 Education House","30 Mary Street","Brisbane","4000","Director","PO Box 15033","City East","","4002","","(07) 3237 0255","N","(07) 3235 9996","","","","Central Office","Brisbane","Brisbane Central","Brisbane (C)"
"0310","Eton State School","State School","82","February 2012","Prospect Street","Eton","","4741","Principal","Prospect Street","Eton","","4741","06","(07) 4954 2111","N","(07) 4954 2100","www.etonss.eq.edu.au","PY","07","Central Queensland","Capricornia","Mirani","Mackay (R)"
"0682","Eudlo State School","State School","88","February 2012","Cnr Highlands Road and Rosebed Street","Eudlo","","4554","Principal","c/- Post Office","Eudlo","","4554","06","(07) 5458 0333","N","(07) 5478 9540","www.eudloss.eq.edu.au","PY","07","North Coast","Fisher","Glass House","Sunshine Coast (R)"
"0222","Eulo State School","State School","13","February 2012","Leo Street","Eulo","","4491","Principal","Leo Street","Eulo","","4491","05","(07) 4655 4898","N","(07) 4655 4807","www.euloss.eq.edu.au","PY","07","Darling Downs South West","Maranoa","Warrego","Paroo (S)"
"0698","Eumundi State School","State School","496","February 2012","22 Caplick Way","Eumundi","","4562","Principal","22 Caplick Way","Eumundi","","4562","08","(07) 5472 6333","N","(07) 5472 6300","www.eumundiss.eq.edu.au","PY","07","North Coast","Fairfax","Noosa","Sunshine Coast (R)"
"1353","Eungella State School","State School","41","February 2012","Chelmer Street","Dalrymple Heights via Mackay","","4757","Principal","c/- Post Office","Dalrymple Heights","via Mackay","4757","05","(07) 4958 4573","N","(07) 4958 4567","www.eungellass.eq.edu.au","PY","07","Central Queensland","Capricornia","Mirani","Mackay (R)"
"7584","Everton Park SHS - ACE Campus","Associated Unit (Other)","0","February 2012","34 - 52 Hayward Street","Stafford","","4053","Principal","34 - 52 Hayward Street","Stafford","","4053","","(07) 3173 6371","N","(07) 3352 5687","","10","12","Metropolitan","Lilley","Stafford","Brisbane (C)"
"0327","Everton Park SHS - Special Education Program","Special Education Program","0","February 2012","668 Stafford Road","Everton Park","","4053","Head of Special Education Services","PO Box 33","Everton Park","","4053","05","(07) 3354 0214","N","(07) 3354 0215","","08","12","Metropolitan","Brisbane","Everton","Brisbane (C)"
"2315","Everton Park SS - Special Education Program","Special Education Program","0","February 2012","Deakin Street","Everton Park","","4053","Teacher-in-Charge","Deakin Street","Everton Park","","4053","","(07) 3550 2222","N","(07) 3550 2200","","PY","07","Metropolitan","Lilley","Everton","Brisbane (C)"
"2061","Everton Park State High School","State High School","259","February 2012","668 Stafford Road","Everton Park","","4053","Principal","PO Box 33","Everton Park","","4053","08","(07) 3354 0222","N","(07) 3354 0200","www.evertonparkshs.eq.edu.au","08","12","Metropolitan","Brisbane","Everton","Brisbane (C)"
"1185","Everton Park State School","State School","465","February 2012","Deakin Street","Everton Park","","4053","Principal","Deakin Street","Everton Park","","4053","08","(07) 3550 2222","N","(07) 3550 2200","www.everparkss.eq.edu.au","PY","07","Metropolitan","Lilley","Everton","Brisbane (C)"
"6121","Facilities Services- Coorparoo Education Precinct","Administrative Unit (Other)","0","","347 Old Cleveland Road","Coorparoo","","4151","Manager","PO Box 1238","Coorparoo DC","","4151","","(07) 3421 6310","N","(07) 3421 6330","","","","Central Office","Griffith","Greenslopes","Brisbane (C)"
"5473","Fairholme College (Toowoomba)","Non-State School","","","40 Wirra Wirra Street","Toowoomba","","4350","Principal","40 Wirra Wirra Street","Toowoomba","","4350","","(07) 4688 4688","N","(07) 4688 4694","www.fairholme.qld.edu.au","PY","12","Darling Downs South West","Groom","Toowoomba North","Toowoomba (R)"
"0121","Fairview Heights SS - Special Education Program","Special Education Program","0","February 2012","75 Mc Dougall Street","Toowoomba","","4350","Head of Special Education Services","75 Mc Dougall Street","Toowoomba","","4350","05","(07) 4659 2823","N","(07) 4659 2824","www.fairheigss.eq.edu.au","0P","07","Darling Downs South West","Groom","Toowoomba North","Toowoomba (R)"
"1751","Fairview Heights State School","State School","530","February 2012","75 McDougall Street","Toowoomba","","4350","Principal","75 McDougall Street","Toowoomba","","4350","08","(07) 4659 2888","N","(07) 4659 2800","www.fairheigss.eq.edu.au","PY","07","Darling Downs South West","Groom","Toowoomba North","Toowoomba (R)"
"0736","Faith Baptist Christian School (Gladstone)","Non-State School","","","1315 Dawson Highway","Burua","","4680","Principal","PO Box 7045","Kin Kora","","4680","","(07) 4978 2850","N","(07) 4978 2420","","PY","12","Central Queensland","Flynn","Gladstone","Gladstone (R)"
