Title,Location,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,Facilities
Ipswich District Court,Ipswich,43 Ellenborough Street,,Ipswich,4305,PO Box 70,,IPSWICH,4305,-27.615768,152.757035,(07) 3280 1720,(07) 3280 1904,courthouse.ipswich@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Ipswich Magistrates Court,Ipswich,43 Ellenborough Street,,Ipswich,4305,PO Box 70,,IPSWICH,4305,-27.615768,152.757035,(07) 3280 1720,(07) 3280 1904,courthouse.ipswich@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Julia Creek Magistrates Court,Julia Creek,14 Burke Street,,Julia Creek,4823,PO Box 6,,JULIA CREEK,4823,-20.657234,141.748342,(07) 4746 7162,(07) 4746 7338,courthouse.juliecreek@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Kingaroy District Court,Kingaroy,Cnr Kingaroy and Alford Streets,,Kingaroy,4610,PO Box 777,,KINGAROY,4610,-26.541028,151.839289,(07) 4164 0230,(07) 4164 0240,courthouse.kingaroy@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Remote Witness Room
Kingaroy Magistrates Court,Kingaroy,Cnr Kingaroy and Alford Streets,,Kingaroy,4610,PO Box 777,,KINGAROY,4610,-26.541028,151.839289,"(07) 4164 0230
(07) 4164 0230 (Coroner)",(07) 4164 0240,courthouse.kingaroy@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Remote Witness Room
Landsborough Magistrates Court,Landsborough,12 Caloundra Street,,Landsborough,4550,,,LANDSBOROUGH,4550,-26.811068,152.968285,(07) 5494 1054,(07) 5494 1070,courthouse.landsborough@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Longreach District Court,Longreach,Galah Street,,Longreach,4730,PO Box 19,,LONGREACH,4730,-23.445554,144.248281,(07) 4650 1983,(07) 4650 1986,courthouse.longreach@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Longreach Magistrates Court,Longreach,Galah Street,,Longreach,4730,PO Box 19,,LONGREACH,4730,-23.445554,144.248281,(07) 4650 1983,(07) 4650 1986,courthouse.longreach@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Longreach Supreme Court,Longreach,Galah Street,,Longreach,4730,PO Box 19,,LONGREACH,4730,-23.445554,144.248281,(07) 4650 1983,(07) 4650 1986,courthouse.longreach@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Mackay District Court,Mackay,12 Brisbane Street,,Mackay,4740,PO Box 104,,MACKAY,4740,-21.141917,149.187773,(07) 4967 0885 or (07) 4967 0787,(07) 4967 0786,courthouse.mackay@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Mackay Magistrates Court,Mackay,12 Brisbane Street,,Mackay,4740,PO Box 104,,MACKAY ,4740,-21.141917,149.187773,"(07) 4967 0711
(07) 4967 0702 (Coroner)",(07) 4953 1476,courthouse.mackay@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Mackay Supreme Court,Mackay,12 Brisbane Street,,Mackay,4740,PO Box 104,,MACKAY,4740,-21.141917,149.187773,(07) 4967 0885 or (07) 4967 0787,(07) 4967 0786,courthouse.mackay@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Mareeba Magistrates Court,Mareeba,14 Hort Street,,Mareeba,4880,PO Box 182,,MAREEBA,4880,-16.995141,145.424358,(07) 4048 4660,(07) 4048 4693,courthouse.mareeba@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Maroochydore District Court,Maroochydore,Cornmeal Parade,,Maroochydore,4558,PO Box 732,,MAROOCHYDORE,4558,-26.655033,153.09233,(07) 5470 8111,(07) 5470 8146,courthouse.maroochydoore@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Maroochydore Magistrates Court,Maroochydore,Cornmeal Parade,,Maroochydore,4558,PO Box 732,,MAROOCHYDORE,4558,-26.655033,153.09233,"(07) 5470 8111
(07) 5470 8113 (Coroner)",(07) 5470 8146,courthouse.maroochydoore@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Maryborough District Court,Maryborough,170 Richmond Street,,Maryborough,4650,PO Box 111,,MARYBOROUGH,4650,-25.53991,152.703673,(07) 4121 1810,(07) 4121 1883,courthouse.maryborough@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,8:30-12:00,12:00-4:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Maryborough Magistrates Court,Maryborough,170 Richmond Street,,Maryborough,4650,PO Box 111,,MARYBOROUGH,4650,-25.53991,152.703673,(07) 4121 1810,(07) 4121 1883,courthouse.maryborough@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Maryborough Supreme Court,Maryborough,170 Richmond Street,,Maryborough,4650,PO Box 111,,MARYBOROUGH,4650,-25.53991,152.703673,(07) 4121 1810,(07) 4121 1883,courthouse.maryborough@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Mitchell Magistrates Court,Mitchell,Cnr Mary and Dublin Streets,,Mitchell,4465,PO Box 41,,MITCHELL,4465,-26.488663,147.978196,(07) 4623 1106,(07) 4623 1510,courthouse.mitchell@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Moranbah Magistrates Court,Moranbah,21 Griffin Street,,Moranbah,4744,PO Box 41,,MORANBAH,4744,-21.999212,148.045257,(07) 4941 7633,(07) 4941 5743,courthouse.moranbah@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Mossman Magistrates Court,Mossman,25?27 Front Street,,Mossman,4873,PO Box 103,,MOSSMAN,4873,-16.463971,145.373313,(07) 4098 1500,(07) 4098 2207,courthouse.mossman@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Mount Isa District Court,Mount Isa,Isa Street,,Mount Isa,4825,PO Box 1660,,MOUNT ISA,4825,-20.728389,139.492389,(07) 4747 2011,(07) 4747 2077,courthouse.mountisa@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote Witness Room"
Mount Isa Magistrates Court,Mount Isa,Isa Street,,Mount Isa,4825,PO Box 1660,,MOUNT ISA,4825,-20.728389,139.492389,(07) 4747 2011,(07) 4747 2077,courthouse.mountisa@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote Witness Room"
Mount Isa Supreme Court,Mount Isa,Isa Street,,Mount Isa,4825,PO Box 1660,,MOUNT ISA,4825,-20.728389,139.492389,(07) 4747 2011,(07) 4747 2077,courthouse.mountisa@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote Witness Room"
Murgon Magistrates Court,Murgon,Stephens Street,,Murgon,4605,PO Box 254,,MURGON,4605,-26.239818,151.940334,(07) 4168 1801,(07) 4168 1669,courthouse.murgon@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Nambour Magistrates Court,Nambour,156?168 Currie Street,,Nambour,4560,PO Box 310,,NAMBOUR,4560,-26.629695,152.95978,(07) 5470 8755,(07) 5470 8769,courthouse.nambour@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Nanango Magistrates Court,Nanango,30 Henry Street,,Nanango,4615,PO Box 72,,NANANGO,4615,-26.670863,152.002416,(07) 4163 1165,(07) 4163 1083,courthouse.nanango@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Noosa Magistrates Court,Noosa,Langura Street,,Noosa,4567,PO Box 851,,NOOSA,4567,-26.409006,153.091614,(07) 5473 8400,(07) 5447 2425,courthouse.noosa@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Normanton Magistrates Court,Normanton,Haig Street,,Normanton,4890,PO Box 23,,NORMANTON,4890,-17.668484,141.079517,(07) 4745 1177,(07) 4745 1393,courthouse.normanton@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Oakey Magistrates Court,Oakey,73 Campbell Street,,Oakey,4401,PO Box 243,,OAKEY,4401,-27.434405,151.720685,(07) 4691 1028,(07) 4691 1250,courthouse.oakey@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
"Petrie Magistrates Court
",Petrie,374 Gympie Road,,Petrie,4500,PO Box 2333,,PETRIE,4500,-27.304763,152.989215,(07) 3384 8233,(07) 3384 8244,courthouse.petrie@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Pine Rivers Magistrates Court,Strathpine,374 Gympie Road,,Strathpine,4500,PO Box 2333,,STRATHPINE,4500,-27.304763,152.989215,(07) 3384 8233,(07) 3384 8244,courthouse.pinerivers@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Pittsworth Magistrates Court,Pittsworth,Yandilla Street,,Pittsworth,4356,PO Box 20,,PITTSWORTH,4356,-27.717352,151.628688,(07) 4693 1168,(07) 4693 2348,courthouse.pittsworth@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Pomona Magistrates Court,Pomona,26 Red Street,,Pomona,4568,PO Box 23,,POMONA,4568,-26.363797,152.854198,(07) 5485 1385,(07) 5485 1091,courthouse.pomona@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Proserpine Magistrates Court,Prosperine,17 Main Street,,Proserpine,4800,PO Box 117,,PROSERPINE,4800,-20.401619,148.581693,(07) 4964 6000,(07) 4964 6008,courthouse.proserpine@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Quilpie Magistrates Court,Quipie,Bulnbuln Street,,Quilpie,4480,PO Box 29,,QUILPIE,4480,-26.617069,144.269391,(07) 4656 1266,(07) 4656 1442,courthouse.quilpie@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Redcliffe Magistrates Court,Redcliffe,193 Redcliffe Parade,,Redcliffe,4020,PO Box 155,,REDCLIFFE,4020,-27.224123,153.114247,(07) 3480 1511,(07) 3480 1522,courthouse.redcliffe@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Richlands Magistrates Court,Inala,Cnr Old Progress and Archerfield Roads,,Inala,4077,PO Box 39,,INALA,4077,-27.596125,152.955807,(07) 3710 1200,(07) 3710 1211,courthouse.richlands@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Videoconferencing
Remote Witness Room"
Richmond Magistrates Court,Richmond,53 Goldring Street,,Richmond,4822,PO Box 17,,RICHMOND,4822,-20.72874,143.142132,(07) 4741 3227,(07) 4741 3721,courthouse.richmond@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Rockhampton District Court,Rockhampton,Cnr East and Fitzroy Streets,,Rockhampton,4700,PO Box 300,,ROCKHAMPTON,4700,-23.37598,150.512659,(07) 4938 4568,(07) 4927 5463,courtinfo@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Rockhampton Magistrates Court,Rockhampton,Cnr East and Fitzroy Streets,,Rockhampton,4700,PO Box 830,,ROCKHAMPTON,4700,-23.37598,150.512659,(07) 4938 4558,(07) 4938 4830,courthouse.rockhampton@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Rockhampton Supreme Court,Rockhampton,Cnr East and Fitzroy Streets,,Rockhampton,4700,PO Box 300,,ROCKHAMPTON,4700,-23.37598,150.512659,(07) 4938 4568,(07) 4927 5463,courtinfo@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Roma District Court,Roma,141 McDowall Street,,Roma,4455,PO Box 245,,ROMA,4455,-26.570521,148.784628,(07) 4624 3033,(07) 4624 3032,courthouse.roma@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Roma Magistrates Court,Roma,141 McDowall Street,,Roma,4455,PO Box 245,,ROMA,4455,-26.570521,148.784628,(07) 4624 3033,(07) 4624 3032,courthouse.roma@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Roma Supreme Court,Roma,141 McDowall Street,,Roma,4455,PO Box 245,,ROMA,4455,-26.570521,148.784628,(07) 4624 3033,(07) 4624 3032,courthouse.roma@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Sandgate Magistrates Court,Sandgate,84 Keogh Street,,Sandgate,4017,PO Box 154,,SANDGATE,4017,-27.318508,153.067271,(07) 3631 8222,(07) 3631 8212,courthouse.sandgate@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Video conferencing
Remote witness room"
Sarina Magistrates Court,Sarina,52-54 Broad Street,,Sarina,4737,PO Box 462,,SARINA,4737,-21.421399,149.21767,(07) 4956 1820,(07) 4943 1009,courthouse.sarina@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Southport District Court,Southport,Cnr Davenport and Hinze Streets,,Southport,4215,PO Box 103,,SOUTHPORT,4215,-27.967132,153.412382,(07) 5583 5900,(07) 5591 1204,courthouse.southport@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Southport Magistrates Court,Southport,Cnr Davenport and Hinze Streets,,Southport,4215,PO Box 103,,SOUTHPORT,4215,-27.967132,153.412382,(07) 5583 5900,(07) 5591 1204,courthouse.southport@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Springsure Magistrates Court,Springsure,Eclipse Street,,Springsure,4722,PO Box 68,,SPRINSURE,4722,-24.11483,148.089483,(07) 4984 1433,(07) 4984 1368,courthouse.springsure@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
St George Magistrates Court,St George,The Terrace,,St George,4487,PO Box 266,,ST GEORGE,4487,-28.036652,148.576812,(07) 4625 3266,(07) 4625 3180,courthouse.stgeorge@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Stanthorpe District Court,Stanthorpe,51 Marsh Street,,Stanthorpe,4380,PO Box 308,,STANTHORPE,4380,-28.652662,151.934083,(07) 4681 1025,(07) 4681 3228,courthouse.stanthorpe@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Stanthorpe Magistrates Court,Stanthorpe,51 Marsh Street,,Stanthorpe,4380,PO Box 308,,STANTHORPE,4380,-28.652662,151.934083,(07) 4681 1025,(07) 4681 3228,courthouse.stanthorpe@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Taroom Magistrates Court,Taroom,33 Yaldwyn Street,,Taroom,4420,PO Box 2,,TAROOM,4420,-25.640895,149.795281,(07) 4627 3106,(07) 4627 3357,courthouse.taroom@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Thursday Island Magistrates Court,Thursday Island,Douglas Street,,Thursday Island,4875,PO Box 5,,THURSDAY ISLAND,4875,-10.583779,142.219311,(07) 4069 1503,(07) 4069 1438,courthouse.thursdayisland@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,Videoconferencing
Toogoolawah Magistrates Court,Toogoolawah,"Hopkins Place, Gardener Street North",,Toogoolawah,4313,PO Box 109,,TOOGOOLAWAH,4313,-27.088751,152.37949,(07) 5423 1522,(07) 5423 1473,courthouse.toogoolawah@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Toowoomba District Court,Toowoomba,159 Hume Street,,Toowoomba,4350,PO Box 1800,,TOOWOOMBA,4350,-27.562411,151.956332,(07) 4615 3660,(07) 4615 3598,courthouse.toowoomba@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Toowoomba Magistrates Court,Toowoomba,159 Hume Street,,Toowoomba,4350,PO Box 1800,,TOOWOOMBA,4350,-27.562411,151.956332,"(07) 4615 3660
(07) 4615 3418 (Coroner)",(07) 4615 3598,courthouse.toowoomba@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
Toowoomba Supreme Court,Toowoomba,159 Hume Street,,Toowoomba,4350,PO Box 1800,,TOOWOOMBA,4350,-27.562411,151.956332,(07) 4615 3660,(07) 4615 3598,courthouse.toowoomba@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,
Townsville District Court,Townsville,31 Walker Street,,Townsville,4810,PO Box 1032,,TOWNSVILLE,4810,-19.257208,146.815795,(07) 4799 7261 or (07) 4799 7498,(07) 4799 7555,TownsvilleHCRegistry@justice.qld.gov.au,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,"Wifi
Videoconferencing
Remote Witness Room"
