Location,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Fax,Maintenance,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,,,,,,,,,,,,,Site Details,Popluation
Kilkivan,Service,QGAP,,26 Bligh Street,Kilkivan,4600,-26.085338,152.241388,(07) 5484 1859,(07) 5484 1390,,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Kilkivan, a rural town of about 300 people, is 45 km north-west of Gympie and 170 km north-west of central Brisbane.",300
Laidley,Service,QGAP,,9 Spicer Street,Laidley,4341,-27.629922,152.395304,(07) 5466 8814,(07) 5466 8860,,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,8:00-12:00,12:00-17:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Laidley is a rural town of 2800 people, 65 km west of central Brisbane.",2800
Lowood,Service,QGAP,,Corner Michel and Main Streets,Lowood,4311,-27.463471,152.580387,(07) 5425 9103,(07) 5426 1816,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; JP Services; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Lowood, a rural town of 1000 people, is 40 km west of central Brisbane and 25 km north-west of Ipswich.",1000
Malanda,Service,QGAP,,21 James Street,Malanda,4885,-17.35284,145.595679,(07) 4096 5277,(07) 4096 5008,,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,8:30-12:00,12:00-16:00,,,,,DEEDI,"Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Malanda, a rural town of 1000 people on the Johnstone River on the Atherton Tableland, is 50 km south-west of Cairns.",1000
Maleny ,Service,QGAP,Police Station,49 Maple Street,Maleny,4552,-26.758609,152.849285,(07) 5429 6293,(07) 5494 2655,,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,9:00-12:00,12:00-14:00,,,,,QPS,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC;Medicare;Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Maleny is a Sunshine Coast hinterland town, situated on the Obi Obi Creek in the Blackall Ranges, 80 km north of central Brisbane and 25 km inland from Caloundra.",
Maroochydore,Service,QGSC,Mike Ahern Centre,"Ground floor, 12 First Avenue",Maroochydore,4558,-26.656606,153.093294,13 QGOV (13 74 68),(07) 5453 1812,,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,SSQ,"Housing & Homelessness Services - Bond Loans etc; Disabilities & Community Services; Land Tax Payments, Stamp Duty Lodgements & Payments, Payroll Tax Payments; Liquor & Gaming Infringements, Liquor & Gaming Licenses etc;  Seniors Card; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Application & Renewals etc, Consumer complaints;Fisheries - Commercial Licenses, Infringments; General Queensland Government Enquiries;",,,,,,,,,,,,,"Maroochydore, a major beach resort on the Sunshine Coast, is 95 km north of central Brisbane.",
Kandanga,Service,QGAP,,45 Main Street,Kandanga,4570,-26.38692,152.676474,(07) 5484 3203,(07) 5484 3203,,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Kandanga, a rural town in the Mary Valley, is 20 km south of Gympie.",
Middlemount,Service,QGAP,,Middlemount Shopping Centre,Middlemount,4746,-22.809045,148.698902,(07) 4985 7255,(07) 4981 2888,,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,8:30-12:00,12:45-16:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Land Tax Payments; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Middlemount, a rural town of 2000 people, is 190 km north-west of Rockhampton.",2000
Miles,Service,QGAP,,32 Constance Street,Miles,4415,-26.657153,150.185786,(07) 4627 1177,(07) 4627 1341,,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,,QPS,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences;CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Miles, a rural town of 1200 people, at the junction of the Warrego and Leichardt Highways in the western Darling Downs, 300 km north-west of Brisbane.",1200
Mirani,Service,QGAP,,20 Victoria Street,Mirani,4754,-21.15876,148.863494,(07) 4959 1842,(07) 4959 1275,,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; JP Services; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mirani (pronounced Mi-Ranni) a rural town of 800 people, is 30 km west of Mackay.",800
Mitchell,Service,QGAP,,Corner Mary and Dublin Streets,Mitchell,4465,-26.488493,147.978231,(07) 4623 1106,(07) 4623 1510,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mitchell, a rural town of 1000 people, is 500 km north-west of Brisbane and 80 km west of Roma.",1000
Monto,Service,QGAP,,53 Newton Street,Monto,4630,-24.864663,151.124656,(07) 4166 1350,(07) 4166 1047,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,DEEDI,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Monto, a rural town of 1200 people, is 120 km west of Bundaberg and 340 km north-west of Brisbane.",1200
Moranbah,Service,QGAP,,21 Griffin Street,Moranbah,4744,-21.998992,148.045319,(07) 4941 7633,(07) 4941 5743,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies;  Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Moranbah, a rural and mining town of 7100 people, is 150 km south-west of Mackay.",7100
Mossman,Service,QGAP,,27 Front Street,Mossman,4783,-16.46042,145.373603,(07) 4098 1500,(07) 4098 2207,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc;Public Trustee - Write a Will; JP Services; SPER Payments;Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mossman, an inland rural town of about 1700 people, is 70 km north-west of Cairns and 10 km from Port Douglas.",1700
Mount Garnet ,Service,QGAP,Police Station,Garnet Street,Mount Garnet,4872,-17.682164,145.125756,(07) 4097 9005,(07) 4097 9036,,9:30-12:00,12:00-15:30,Closed,Closed,9:30-12:00,12:00-15:30,Closed,Closed,Closed,Closed,,,,,COMM,"Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mount Garnet, a town of 450 people, is 100 km west of Innisfail and 110 km south-west of Cairns.",450
Mount Morgan,Service,QGAP,,32 Hall Street,Mount Morgan,4717,-23.648131,150.388647,(07) 4938 1359,(07) 4938 1083,,Closed,Closed,9:00-12:00,12:00-16:00,9:00-12:00,12:00-13:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mount Morgan, a former gold and copper mining town and with a present population of about 2400 people, is 40 km south-west of Rockhampton.",2400
Moura,Service,QGAP,,Marshall and Shirley Streets,Moura,4718,-24.570153,149.973215,(07) 4997 2244,(07) 4997 1388,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,10:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,TMR,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Public Trustee - Write a Will; JP Services; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Moura, a rural town of about 1800 people, is 150 km south-west of Gladstone.",1800
Mundubbera,Service,QGAP,,51 Lyons Street,Mundubbera,4626,-25.59093,151.299568,(07) 4165 5741,(07) 4165 4803,,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-17:00,8:30-12:00,12:00-16:30,,,,,SSQ,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; Seniors Card; SPER Payments;Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Mundubbera, a rural town of 1050 people, is on the Burnett River in the central Burnett region, 140 km west of Maryborough and 270 km north-west of central Brisbane.",1050
Murgon,Service,QGAP,,48 Stephens Street West,Murgon,4605,-26.240038,151.940991,(07) 4168 1801,(07) 4168 1669,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Murgon, a town of 2100 people, is 70 km west of Gympie and 170 km north-west of Brisbane.",2100
Nanango,Service,QGAP,,30 Henry Street,Nanango,4615,-26.670634,152.002425,(07) 4163 1165,(07) 4163 1083,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies;  Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Nanango, a rural town of about 3100 people, is 150 km north-west of central Brisbane.",3100
Normanton,Service,QGAP,,Haig Street,Normanton,4890,-17.668241,141.079622,(07) 4745 1177,(07) 4745 1393,,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,9:00-12:00,12:00-16:00,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"rmanton, a rural town of 1100 people, is 40 km south-east of the mouth of the Norman River on the Gulf of Carpentaria.",1100
North Stradbroke Island,Service,QGAP,,5 Ballow Street,Dunwich,4183,-27.499602,153.403471,(07) 3409 9906,(07) 3409 9431,,Closed,Closed,8:30-13:00,14:00-16:00,Closed,Closed,8:30-13:00,14:00-16:00,Closed,Closed,,,,,TMR,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Public Trustee - Write a Will; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,,
Pittsworth,Service,QGAP,,77 Yandilla Street,Pittsworth,4356,-27.715161,151.633825,(07) 4693 1168,(07) 4693 2348,,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:15,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Pittsworth, a rural town of over 2900 people, is 135 km south-west of central Brisbane and 35 km south-west of Toowoomba.",2900
Quilpie,Service,QGAP,,Buln Buln Street,Quilpie,4570,-26.613066,144.26881,(07) 4656 1266,(07) 4656 1442,,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DEEDI,"Birth, Death & Marriage Certificate copies; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Quilpie, the administrative centre of Quilpie shire, is about 860 km west of Brisbane and 320 km from the South Australian border.",
Ravenshoe,Service,QGAP,,27–29 Grigg Street,Ravenshoe,4888,-17.604665,145.481041,(07) 4097 6660,(07) 4097 6830,,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,9:00-13:00,14:00-16:30,,,,,COMM,"Birth, Death & Marriage Certificate copies;  Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; Seniors Card; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Ravenshoe is a town of about 900 people, 60 km west of Innisfail and 80 km south-west of Cairns.",900
Richmond,Service,QGAP,,Goldring Street,Richmond,4822,-20.726635,143.14002,(07) 4741 3227,(07) 4741 3721,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will;  JP Services; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Richmond is the administrative centre of the Richmond shire (26,936 sq km), 620 km west of Mackay and 110 km west of Hughenden.",
Sarina,Service,QGAP,,Broad Street,Sarina,4737,-21.419526,149.216241,(07) 4956 1820,(07) 4943 1009,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences;CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Sarina, a rural town of about 3300 people, is on the Bruce Highway, 30 km south of Mackay.",3300
Springsure,Service,QGAP,,Eclipse Street,Springsure,4722,-24.113953,148.089221,(07) 4984 1433,(07) 4984 1368,,9:00-12:00,12:00-16:30,Closed,Closed,9:00-12:00,12:00-16:30,Closed,Closed,9:00-12:00,12:00-16:30,,,,,JAG,"CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Springsure, a rural town of over 800 people, is on the Dawson Highway, 320 km west of Gladstone.",800
St George,Service,QGAP,,The Terrace,St George,4487,-28.036134,148.576845,(07) 4625 3266,(07) 4625 3180,,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,9:00-12:00,12:00-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Fair Trading Services - Industry Licensing Applications & Renewals, Incorporated Association Applications & Renewals etc & Consumer Complaints; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences;CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"St George, a rural town of about 2400 people, is in southern Queensland, 420 km west of Brisbane and 100 km from the New South Wales border.",2400
Stanthorpe,Service,QGAP,,51 Marsh Street,Stanthorpe,4380,-28.652483,151.934103,(07) 4681 4965,(07) 4681 4971,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:30-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,TMR,"Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences;CTP Insurance; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Stanthorpe, a rural town of 4200 people, is in elevated 'granite belt' country near the New South Wales border, 170 km south-west of central Brisbane.",4200
Surat,Service,QGAP,,62 Burrowes Street,Surat,4417,-27.151861,149.068292,(07) 4626 5523,(07) 4626 5256,,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,9:30-12:30,13:30-16:30,,,,,SSQ,"Birth, Death & Marriage Certificate copies; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Surat, a rural town of about 430 people on the Balonne River, south-central Queensland, is 380 km west of Brisbane and 70 km south of Roma.",430
Tara,Service,QGAP,,19 Fry Street,Tara,4421,-27.520318,153.079535,(07) 4665 3130,(07) 4665 3460,,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,9:00-13:00,14:00-16:00,,,,,SSQ,"Birth, Death & Marriage Certificate copies;  Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Public Trustee - Write a Will; JP Services; SPER Payments; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Tara, a rural town of 800 people, is 80 km west of Dalby and 280 km west of central Brisbane.",800
Taroom,Service,QGAP,,33 Yaldwyn Street,Taroom,4420,-25.640685,149.79531,(07) 4627 3106,(07) 4627 3357,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,JAG,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Taroom, a rural town of about 630 people, is on the Dawson River, 290 km west of Maryborough.",630
Texas,Service,QGAP,,32 Cadell Street,Texas,4385,-28.853845,151.169534,(07) 4653 1251,(07) 4653 1265,,9:30-13:00,14:00-17:00,Closed,Closed,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,9:30-13:00,14:00-17:00,,,,,TMR,"Birth, Death & Marriage Certificate copies; Housing & Homelessness Services - Bond Loans etc; Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences; CTP Insurance;  JP Services; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,"Texas, a rural town of 700 people, is on the north side of the Dumeresq River (the border with New South Wales) 230 km south-west of Brisbane.",700
Thargomindah ,Service,QGAP,Police Station,Dowling Street,Thargomindah,4492,-27.996239,143.821846,(07) 4655 3291,(07) 4655 3224,,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,9:00-12:00,12:00-17:00,,,,,QPS,"Community Liquor Permits, Liquor & Gaming Infringements, Liquor & Gaming Licences;CTP Insurance; Transport Services - Licences, Infringements & Registrations etc; QPS - Weapons Licence; Information & Form Provision for ATO; Centrelink; ACCC; RTA; ASIC; Medicare; Legal Aid; Workcover; Veterans Affairs; General Queensland Government Enquiries",,,,,,,,,,,,,,
